49ers, 4437, 2166, 10
Bears, 3635, 2018, 6
Bengals, 4806, 1742, 10
Bills, 4450, 2209, 11
Broncos, 3856, 2025, 7
Browns, 3619, 2471, 8
Buccaneers, 5383, 1672, 13
Cardinals, 4619, 2076, 11
Chargers, 5014, 1834, 9
Chiefs, 4937, 1955, 12
Colts, 3588, 2540, 9
Cowboys, 4963, 2119, 12
Dolphins, 3936, 1568, 9
Eagles, 3585, 2715, 9
Falcons, 3987, 1451, 7
Football Team, 3746, 2061, 7
Giants, 3463, 1688, 4
Jaguars, 3674, 1755, 3
Jets, 3959, 1667, 4
Lions, 3884, 1886, 3
Packers, 4526, 1900, 13
Panthers, 3573, 1842, 5
Patriots, 4098, 2151, 10
Raiders, 4808, 1617, 10
Rams, 4893, 1683, 12
Ravens, 4267, 2479, 8
Saints, 3437, 1991, 9
Seahawks, 3815, 2074, 7
Steelers, 4017, 1583, 9
Texans, 3630, 1422, 4
Titans, 3745, 2404, 12
Vikings, 4450, 1930, 8
